Title,Review,Date,Rating
Never works right,"Anytime I click on someone’s link from Insta it doesn’t work, then when I try and search the user it won’t pull up. This app isn’t great!",2024-06-19T18:45:03-07:00,1
Great App,Love that all the fashions are on here!,2024-06-18T11:34:36-07:00,5
cool app!,It’s a cool app and helps you pick out outfit inspo so id give it 4⭐️,2024-06-16T08:25:51-07:00,4
Love your finds,I’ve bought so many of your outfits and actually wearing one as I write this review Thank you for making styling affordable 😀,2024-06-08T04:46:44-07:00,5
L O V E this app! Just one request though…,I absolutely love this app! I’ve found so many great products and amazing deals while using this app. I just have one request… could we move the like/comment/share bar from off of the actual post? Sometimes there are things behind it like a price that I can’t read. I can’t be the only one that’s wishing for this. Lol.,2024-06-05T06:24:41-07:00,5
Love this,This app gives me tons of outfit ideas in presents. It’s really useful when you don’t know what to wear or give somebody.,2024-06-02T19:49:42-07:00,5
great app,"i love this app so much, the idea behind it is genius. but i don’t love the way parts of it works, and it is verrrrrrry slow.",2024-05-31T12:22:05-07:00,4
The new update made the app unusable!,"I updated the app that was working perfectly fine before I updated it. Now it closes automatically when I click on a link to shop for the items shared by influencers. 
This makes the app no longer useful. Sadly I don’t know if there are other apps I can use that are similar to this one and actually work. 
I will make the difficult decision of deleting the app and apparently erasing all my data.",2024-05-28T20:53:42-07:00,1
Me encanta!,Me encanta encontrar rápidamente mis looks favoritos y sobretodo tener modelos de inspiración de como vestir.,2024-05-27T20:36:52-07:00,5
Love LTK!,"Love the app! Great outfit ideas with links to almost all of the items. 
I just don’t like that it will automatically have you follow someone’s profile if your checking out a look.",2024-05-25T06:02:30-07:00,5
My go to app,I love this app!  It keep me abreast of the latest fashion and work trends.,2024-05-24T17:59:14-07:00,5
Great concept but,Everyone seems to be sponsored by Amazon so they are all promoting the same 10 things,2024-05-19T02:04:21-07:00,3
Great Resource!,"Provided the Contant creator actually matches items exactly to the link where they can be shopped, this is one of the best shopping resources.",2024-05-18T05:02:13-07:00,5
Great App,It’s great for ideas and useful,2024-05-09T12:28:47-07:00,5
This app is great shopping for everyone.,"I love this app for customizing a curated variety of cute and affordable items ( not just clothes: purses, shoes, home furnishings too).  Plan to keep checking it out.",2024-05-09T07:34:09-07:00,5
Tennis shorts,Very cute 🫶🏾,2024-05-08T19:12:48-07:00,5
